"","Host","Synonym"
"1","ondatra zibethicus","ondatra zibethicus"
"2","ondatra zibethicus","castor zibethicus"
"3","ondatra zibethicus","ondatra americana"
"4","ondatra zibethicus","fiber zibethicus nigra"
"5","ondatra zibethicus","fiber zibethicus maculosa"
"6","ondatra zibethicus","fiber zibethicus varius"
"7","ondatra zibethicus","fiber zibethicus niger"
"8","ondatra zibethicus","ondatra zibethicus zibethicus"
"9","ondatra zibethicus","fiber macrodon"
"10","ondatra zibethicus","fiber obscurus"
"11","ondatra zibethicus","fiber occipitalis"
"12","ondatra zibethicus","fiber osoyoosensis"
"13","ondatra zibethicus","fiber spatulatus"
"14","ondatra zibethicus","fiber zibethicus albus"
"15","ondatra zibethicus","fiber zibethicus aquilonius"
"16","ondatra zibethicus","ondatra zibethica bernardi"
"17","ondatra zibethicus","fiber zibethicus cinnamominus"
"18","ondatra zibethicus","fiber zibethicus hudsonius"
"19","ondatra zibethicus","ondatra zibethica goldmani"
"20","ondatra zibethicus","fiber zibethicus mergens"
"21","ondatra zibethicus","fiber zibethicus pallidus"
"22","ondatra zibethicus","fiber zibethicus ripensis"
"23","ondatra zibethicus","fiber zibethicus rivalicius"
"24","ondatra zibethicus","fiber zibethicus zalophus"
"25","ondatra zibethicus","ondatra zibethicus ripensis"
