"","Host","Synonym"
"1","onychomys leucogaster","onychomys leucogaster"
"2","onychomys leucogaster","onychomys arcticeps"
"3","onychomys leucogaster","onychomys fuliginosus"
"4","onychomys leucogaster","onychomys longipes"
"5","onychomys leucogaster","mus missouriensis"
"6","onychomys leucogaster","onychomys ruidosae"
"7","onychomys leucogaster","onychomys leucogaster albescens"
"8","onychomys leucogaster","onychomys leucogaster breviauritus"
"9","onychomys leucogaster","onychomys leucogaster brevicaudus"
"10","onychomys leucogaster","onychomys leucogaster capitulatus"
"11","onychomys leucogaster","onychomys leucogriseus fuscogriseus"
"12","onychomys leucogaster","onychomys leucogaster melanophrys"
"13","onychomys leucogaster","onychomys melanophrys pallescens"
"14","onychomys leucogaster","onychomys leucogaster pallidus"
"15","onychomys leucogaster","onychomys leucogaster utahensis"
