"","Host","Synonym"
"1","onychomys torridus","onychomys torridus"
"2","onychomys torridus","onychomys longicaudus"
"3","onychomys torridus","onychomys macrotis"
"4","onychomys torridus","onychomys pulcher"
"5","onychomys torridus","onychomys ramona"
"6","onychomys torridus","onychomys torridus clarus"
"7","onychomys torridus","onychomys torridus perpallidus"
"8","onychomys torridus","onychomys torridus tularensis"
"9","onychomys torridus","onychomys torridus yakiensis"
"10","onychomys torridus","onychomys torridus ramona"
