"","Host","Synonym"
"1","oryzomys couesi","oryzomys couesi"
"2","oryzomys couesi","oryzomys albiventer"
"3","oryzomys couesi","oryzomys antillarum"
"4","oryzomys couesi","oryzomys aquaticus"
"5","oryzomys couesi","oryzomys azuerensis"
"6","oryzomys couesi","oryzomys bulleri"
"7","oryzomys couesi","oryzomys cozumelae"
"8","oryzomys couesi","oryzomys crinitus"
"9","oryzomys couesi","oryzomys fulgens"
"10","oryzomys couesi","oryzomys gatunensis"
"11","oryzomys couesi","oryzomys goldmani"
"12","oryzomys couesi","oryzomys jalapae"
"13","oryzomys couesi","oryzomys mexicanus"
"14","oryzomys couesi","oryzomys molestus"
"15","oryzomys couesi","oryzomys peninsulae"
"16","oryzomys couesi","oryzomys richardsoni"
"17","oryzomys couesi","oryzomys richmondi"
"18","oryzomys couesi","oryzomys rufus"
"19","oryzomys couesi","oryzomys teapensis"
"20","oryzomys couesi","oryzomys zygomaticus"
"21","oryzomys couesi","oryzomys jalapae apatelius"
"22","oryzomys couesi","oryzomys crinitus aztecus"
"23","oryzomys couesi","oryzomys couesi lambi"
"24","oryzomys couesi","oryzomys mexicanus peragrus"
"25","oryzomys couesi","oryzomys couesi pinicola"
"26","oryzomys couesi","oryzomys couesi regillus"
"27","oryzomys couesi","oryzomys jalapae rufinus"
"28","oryzomys couesi","oryzomys couesi aquaticus"
