"","Host","Synonym"
"1","oryzomys palustris","oryzomys palustris"
"2","oryzomys palustris","oryzomys palustris palustris"
"3","oryzomys palustris","oryzomys palustris natator"
"4","oryzomys palustris","oryzomys argentatus"
"5","oryzomys palustris","mus palustris"
"6","oryzomys palustris","oryzomys palustris coloratus"
"7","oryzomys palustris","oryzomys natator floridanus"
"8","oryzomys palustris","oryzomys palustris planirostris"
"9","oryzomys palustris","oryzomys palustris sanibeli"
"10","oryzomys palustris","oryzomys palustris texensis"
