"","Host","Synonym"
"1","otomys irroratus","otomys irroratus"
"2","otomys irroratus","otomys bisulcatus"
"3","otomys irroratus","otomys capensis"
"4","otomys irroratus","euyotis obscura"
"5","otomys irroratus","euryotis typicus"
"6","otomys irroratus","otomys irroratus auratus"
"7","otomys irroratus","otomys irroratus coenosus"
"8","otomys irroratus","otomys cupreus cupreoides"
"9","otomys irroratus","otomys irroratus cupreus"
"10","otomys irroratus","otomys irroratus natalensis"
"11","otomys irroratus","otomys irroratus orientalis"
"12","otomys irroratus","otomys irroratus randensis"
