"","Host","Synonym"
"1","papio anubis","papio anubis"
"2","papio anubis","cynocephalus choras"
"3","papio anubis","cynocephalus doguera"
"4","papio anubis","papio furax"
"5","papio anubis","papio graueri"
"6","papio anubis","papio heuglini"
"7","papio anubis","papio lydekkeri"
"8","papio anubis","papio neumanni"
"9","papio anubis","papio nigeriae"
"10","papio anubis","papio silvestris"
"11","papio anubis","papio tesselatum"
"12","papio anubis","papio werneri"
"13","papio anubis","papio yokoensis"
"14","papio anubis","papio anubis olivaceus"
"15","papio anubis","papio anubis lestes"
"16","papio anubis","papio anubis vigilis"
"17","papio anubis","papio anubis niloticus"
"18","papio anubis","papio anubis tibestianus"
