"","Host","Synonym"
"1","peromyscus crinitus","peromyscus crinitus"
"2","peromyscus crinitus","sitomys auripectus"
"3","peromyscus crinitus","peromyscus petraius"
"4","peromyscus crinitus","peromyscus stephensi"
"5","peromyscus crinitus","peromyscus crinitus delgadilli"
"6","peromyscus crinitus","peromyscus crinitus disparilis"
"7","peromyscus crinitus","peromyscus crinitus doutii"
"8","peromyscus crinitus","peromyscus crinitus pallidissimus"
"9","peromyscus crinitus","peromyscus crinitus pergracilis"
"10","peromyscus crinitus","peromyscus crinitus peridoneus"
"11","peromyscus crinitus","peromyscus crinitus rupicolus"
"12","peromyscus crinitus","peromyscus crinitus scitulus"
"13","peromyscus crinitus","peromyscus crinitus scopulorum"
