"","Host","Synonym"
"1","peromyscus eremicus","peromyscus eremicus"
"2","peromyscus eremicus","hesperomys anthonyi"
"3","peromyscus eremicus","peromyscus cedrosensis"
"4","peromyscus eremicus","peromyscus collatus"
"5","peromyscus eremicus","peromyscus eremicus alcorni"
"6","peromyscus eremicus","peromyscus eremicus avius"
"7","peromyscus eremicus","peromyscus eremicus cinereus"
"8","peromyscus eremicus","peromyscus eremicus insulicola"
"9","peromyscus eremicus","peromyscus eremicus papagensis"
"10","peromyscus eremicus","peromyscus eremicus phaeurus"
"11","peromyscus eremicus","peromyscus eremicus polypolius"
"12","peromyscus eremicus","peromyscus eremicus pullus"
"13","peromyscus eremicus","peromyscus eremicus sinaloensis"
"14","peromyscus eremicus","peromyscus eremicus tiburonensis"
