"","Host","Synonym"
"1","peromyscus gossypinus","peromyscus gossypinus"
"2","peromyscus gossypinus","peromyscus gossypinus gossypinus"
"3","peromyscus gossypinus","peromyscus gossypinus allapaticola"
"4","peromyscus gossypinus","peromyscus anastasae"
"5","peromyscus gossypinus","hesperomys cognatus"
"6","peromyscus gossypinus","peromyscus insulanus"
"7","peromyscus gossypinus","sitomys megacephalus"
"8","peromyscus gossypinus","peromyscus gossypinus mississippiensis"
"9","peromyscus gossypinus","peromyscus gossypinus nigriculus"
"10","peromyscus gossypinus","peromyscus gossypinus palmarius"
"11","peromyscus gossypinus","peromyscus gossypinus restrictus"
"12","peromyscus gossypinus","peromyscus gossypinus telmaphilus"
"13","peromyscus gossypinus","peromyscus gossypinus anastasae"
