"","Host","Synonym"
"1","peromyscus leucopus","peromyscus leucopus"
"2","peromyscus leucopus","hesperomys affinis"
"3","peromyscus leucopus","peromyscus arboreus"
"4","peromyscus leucopus","hesperomys campestris"
"5","peromyscus leucopus","peromyscus canus"
"6","peromyscus leucopus","peromyscus cozulmelae"
"7","peromyscus leucopus","arvicola emmonsi"
"8","peromyscus leucopus","vesperimus mearnsii"
"9","peromyscus leucopus","mus michiganensis"
"10","peromyscus leucopus","peromyscus musculoides"
"11","peromyscus leucopus","cricetus myoides"
"12","peromyscus leucopus","hesperomys texana"
"13","peromyscus leucopus","peromyscus tornillo"
"14","peromyscus leucopus","peromyscus leucopus ammodytes"
"15","peromyscus leucopus","peromyscus leucopus aridulus"
"16","peromyscus leucopus","sitomys leucopus arizonae"
"17","peromyscus leucopus","peromyscus leucopus brevicaudus"
"18","peromyscus leucopus","peromyscus texanus castaneus"
"19","peromyscus leucopus","peromyscus leucopus caudatus"
"20","peromyscus leucopus","peromyscus leucopus easti"
"21","peromyscus leucopus","peromyscus texanus flaccidus"
"22","peromyscus leucopus","peromyscus leucopus fuscus"
"23","peromyscus leucopus","peromyscus leucopus incensus"
"24","peromyscus leucopus","peromyscus leucopus lachiguiriensis"
"25","peromyscus leucopus","peromyscus texanus mesomelas"
"26","peromyscus leucopus","peromyscus leucopus minnesotae"
"27","peromyscus leucopus","mus sylvaticus noveboracensis"
"28","peromyscus leucopus","peromyscus leucopus ochraceus"
"29","peromyscus leucopus","peromyscus leucopus fusus"
