"","Host","Synonym"
"1","peromyscus maniculatus","peromyscus maniculatus"
"2","peromyscus maniculatus","hesperomys arcticus"
"3","peromyscus maniculatus","hesperomys austerus"
"4","peromyscus maniculatus","mus bairdii"
"5","peromyscus maniculatus","peromyscus catalinae"
"6","peromyscus maniculatus","peromyscus cineritius"
"7","peromyscus maniculatus","peromyscus dubius"
"8","peromyscus maniculatus","peromyscus exiguus"
"9","peromyscus maniculatus","hesperomys gambelii"
"10","peromyscus maniculatus","peromyscus geronimensis"
"11","peromyscus maniculatus","hesperomys gracilis"
"12","peromyscus maniculatus","peromyscus imperfectus"
"13","peromyscus maniculatus","sitomys insolatus"
"14","peromyscus maniculatus","peromyscus labecula"
"15","peromyscus maniculatus","peromyscus luteus"
"16","peromyscus maniculatus","peromyscus oresterus"
"17","peromyscus maniculatus","peromyscus perimekurus"
"18","peromyscus maniculatus","hesperomys sonoriensis"
"19","peromyscus maniculatus","peromyscus canadensis abietorum"
"20","peromyscus maniculatus","peromyscus maniculatus alpinus"
"21","peromyscus maniculatus","peromyscus maniculatus anacapae"
"22","peromyscus maniculatus","peromyscus maniculatus angustus"
"23","peromyscus maniculatus","peromyscus maniculatus anticostiensis"
"24","peromyscus maniculatus","hesperomys leucopus arcticus"
"25","peromyscus maniculatus","peromyscus canadensis argentatus"
"26","peromyscus maniculatus","sitomys americanus artemisiae"
"27","peromyscus maniculatus","peromyscus maniculatus assimilis"
"28","peromyscus maniculatus","peromyscus maniculatus balaclavae"
"29","peromyscus maniculatus","peromyscus sonoriensis blandus"
"30","peromyscus maniculatus","peromyscus maniculatus borealis"
"31","peromyscus maniculatus","sitomys americanus canadensis"
"32","peromyscus maniculatus","peromyscus texanus clementis"
"33","peromyscus maniculatus","peromyscus leucopus coolidgei"
"34","peromyscus maniculatus","hesperomys leucopus deserticolus"
"35","peromyscus maniculatus","peromyscus maniculatus dorsalis"
"36","peromyscus maniculatus","peromyscus maniculatus elusus"
"37","peromyscus maniculatus","peromyscus maniculatus eremus"
"38","peromyscus maniculatus","peromyscus maniculatus exterus"
"39","peromyscus maniculatus","peromyscus sonoriensis fulvus"
"40","peromyscus maniculatus","peromyscus maniculatus georgiensis"
"41","peromyscus maniculatus","peromyscus maniculatus gunnisoni"
"42","peromyscus maniculatus","peromyscus maniculatus hollisteri"
"43","peromyscus maniculatus","peromyscus maniculatus hueyi"
"44","peromyscus maniculatus","peromyscus maniculatus inclarus"
"45","peromyscus maniculatus","peromyscus maniculatus magdalenae"
"46","peromyscus maniculatus","peromyscus maniculatus margaritae"
"47","peromyscus maniculatus","peromyscus texanus medius"
"48","peromyscus maniculatus","hesperomys sonoriensis nebrascensis"
"49","peromyscus maniculatus","peromyscus leucopus nubiterrae"
"50","peromyscus maniculatus","peromyscus maniculatus ozarkiarum"
"51","peromyscus maniculatus","peromyscus michiganensis pallescens"
"52","peromyscus maniculatus","peromyscus maniculatus plumbeus"
"53","peromyscus maniculatus","peromyscus oreas rubidus"
"54","peromyscus maniculatus","hesperomys leucopus rufinus"
"55","peromyscus maniculatus","peromyscus maniculatus sanctaerosae"
"56","peromyscus maniculatus","peromyscus maniculatus santacruzae"
"57","peromyscus maniculatus","peromyscus texanus saturatus"
"58","peromyscus maniculatus","peromyscus maniculatus saxamans"
"59","peromyscus maniculatus","peromyscus maniculatus serratus"
"60","peromyscus maniculatus","peromyscus maniculatus streatori"
"61","peromyscus maniculatus","sitomys americanus thurberi"
"62","peromyscus maniculatus","peromyscus maniculatus clementis"
