"","Host","Synonym"
"1","peromyscus mexicanus","peromyscus mexicanus"
"2","peromyscus mexicanus","peromyscus altilaneus"
"3","peromyscus mexicanus","peromyscus cacabatus"
"4","peromyscus mexicanus","peromyscus nicaraguae"
"5","peromyscus mexicanus","hesperomys nudipes"
"6","peromyscus mexicanus","peromyscus tehuantepecus"
"7","peromyscus mexicanus","peromyscus banderanus angelensis"
"8","peromyscus mexicanus","peromyscus megalops azulensis"
"9","peromyscus mexicanus","peromyscus banderanus coatlanensis"
"10","peromyscus mexicanus","peromyscus nudipes hesperus"
"11","peromyscus mexicanus","peromyscus nudipes orientalis"
"12","peromyscus mexicanus","peromyscus mexicanus orizabae"
"13","peromyscus mexicanus","peromyscus mexicanus philombrius"
"14","peromyscus mexicanus","peromyscus mexicanus putlaensis"
"15","peromyscus mexicanus","peromyscus mexicanus salvadorensis"
"16","peromyscus mexicanus","peromyscus mexicanus teapensis"
"17","peromyscus mexicanus","peromyscus mexicanus totontepecus"
"18","peromyscus mexicanus","peromyscus guatemalensis tropicalis"
