"","Host","Synonym"
"1","peromyscus truei","peromyscus truei"
"2","peromyscus truei","peromyscus comanche"
"3","peromyscus truei","peromyscus dyselius"
"4","peromyscus truei","sitomys gilberti"
"5","peromyscus truei","peromyscus hemionotis"
"6","peromyscus truei","peromyscus lasius"
"7","peromyscus truei","sitomys martirensis"
"8","peromyscus truei","hesperomys megalotis"
"9","peromyscus truei","peromyscus montipinoris"
"10","peromyscus truei","peromyscus truei chlorus"
"11","peromyscus truei","peromyscus truei lagunae"
"12","peromyscus truei","peromyscus truei nevadensis"
"13","peromyscus truei","peromyscus truei preblei"
"14","peromyscus truei","peromyscus truei sequoiensis"
"15","peromyscus truei","peromyscus truei comanche"
