"","Host","Synonym"
"1","phyllotis darwini","phyllotis darwini"
"2","phyllotis darwini","mus boedeckeri"
"3","phyllotis darwini","mus campestris"
"4","phyllotis darwini","mus dichrous"
"5","phyllotis darwini","mus griseoflavus"
"6","phyllotis darwini","mus illapelinus"
"7","phyllotis darwini","mus megalotis"
"8","phyllotis darwini","mus melanotis"
"9","phyllotis darwini","mus melanonotus"
"10","phyllotis darwini","mus mollis"
"11","phyllotis darwini","mus platytarsus"
"12","phyllotis darwini","mus segethi"
"13","phyllotis darwini","phyllotis darwini fulvescens"
