"","Host","Synonym"
"1","rattus andamanensis","rattus andamanensis"
"2","rattus andamanensis","rattus sikkimensis"
"3","rattus andamanensis","mus burrulus"
"4","rattus andamanensis","mus flebilis"
"5","rattus andamanensis","rattus rattus hainanicus"
"6","rattus andamanensis","rattus rattus holchu"
"7","rattus andamanensis","epimys rattus klumensis"
"8","rattus andamanensis","rattus rattus koratensis"
"9","rattus andamanensis","epimys rattus kraensis"
"10","rattus andamanensis","rattus rattus sikkimensis"
"11","rattus andamanensis","rattus confucianus yaoshanensis"
