"","Host","Synonym"
"1","rattus exulans","rattus exulans"
"2","rattus exulans","mus aemuli"
"3","rattus exulans","epimys basilanus"
"4","rattus exulans","mus bocourti"
"5","rattus exulans","mus buruensis"
"6","rattus exulans","epimys calcis"
"7","rattus exulans","mus clabatus"
"8","rattus exulans","mus concolor"
"9","rattus exulans","mus ephippium"
"10","rattus exulans","epimys leucophaetus"
"11","rattus exulans","mus luteiventris"
"12","rattus exulans","epimys mayonicus"
"13","rattus exulans","togomys melanoderma"
"14","rattus exulans","mus obscurus"
"15","rattus exulans","epimys ornatulus"
"16","rattus exulans","mus pantarensis"
"17","rattus exulans","mus pullus"
"18","rattus exulans","epimys querceti"
"19","rattus exulans","rattus raveni"
"20","rattus exulans","rattus schuitemakeri"
"21","rattus exulans","epimys stragulum"
"22","rattus exulans","mus surdus"
"23","rattus exulans","mus todayensis"
"24","rattus exulans","epimys vigoratus"
"25","rattus exulans","mus wichmanni"
"26","rattus exulans","mus vulcani apicus"
"27","rattus exulans","rattus concolor equile"
"28","rattus exulans","rattus raveni eurous"
"29","rattus exulans","rattus concolor malengiensis"
"30","rattus exulans","rattus concolor meringgit"
"31","rattus exulans","mus ephippium negrinus"
"32","rattus exulans","rattus concolor otteni"
"33","rattus exulans","rattus concolor solatus"
