"","Host","Synonym"
"1","rattus norvegicus","rattus norvegicus"
"2","rattus norvegicus","mus caraco"
"3","rattus norvegicus","mus caspius"
"4","rattus norvegicus","mus decumanoides"
"5","rattus norvegicus","mus decumanus"
"6","rattus norvegicus","mus griseipectus"
"7","rattus norvegicus","mus hibernicus"
"8","rattus norvegicus","mus humiliatus"
"9","rattus norvegicus","mus javanus"
"10","rattus norvegicus","mus magnirostris"
"11","rattus norvegicus","mus maniculatus"
"12","rattus norvegicus","mus maurus"
"13","rattus norvegicus","mus ouangthomae"
"14","rattus norvegicus","mus plumbeus"
"15","rattus norvegicus","mus surmolottus"
"16","rattus norvegicus","rattus norvegicus albus"
"17","rattus norvegicus","mus sylvaticus discolor"
"18","rattus norvegicus","mus decumanus hybridus"
"19","rattus norvegicus","rattus humiliatus insolatus"
"20","rattus norvegicus","mus decumanus major"
"21","rattus norvegicus","rattus norvegicus otomoi"
"22","rattus norvegicus","mus norvegicus praestans"
"23","rattus norvegicus","rattus norvegicus primarius"
"24","rattus norvegicus","epimys norvegicus socer"
"25","rattus norvegicus","rattus humiliatus sowerbyi"
