"","Host","Synonym"
"1","rattus rattus","rattus rattus"
"2","rattus rattus","mus alexandrinorattus"
"3","rattus rattus","mus alexandrinus"
"4","rattus rattus","mus alexandrinus"
"5","rattus rattus","mus arboreus"
"6","rattus rattus","hapalotis arboricola"
"7","rattus rattus","mus asiaticus"
"8","rattus rattus","mus atratus"
"9","rattus rattus","mus atridorsum"
"10","rattus rattus","mus ceylonus"
"11","rattus rattus","epimys chionogaster"
"12","rattus rattus","mus crassipes"
"13","rattus rattus","rattus domesticus"
"14","rattus rattus","mus erythronotus"
"15","rattus rattus","mus flavescens"
"16","rattus rattus","mus flaviventris"
"17","rattus rattus","musculus frugivorus"
"18","rattus rattus","mus galapagoensis"
"19","rattus rattus","mus griseocaeruleus"
"20","rattus rattus","mus infralineatus"
"21","rattus rattus","mus insularis"
"22","rattus rattus","mus jujensis"
"23","rattus rattus","mus kandianus"
"24","rattus rattus","mus kandiyanus"
"25","rattus rattus","epimys kelaarti"
"26","rattus rattus","mus kijabius"
"27","rattus rattus","mus latipes"
"28","rattus rattus","mus leucogaster"
"29","rattus rattus","mus muansae"
"30","rattus rattus","mus nemoralis"
"31","rattus rattus","mus novaezelandiae"
"32","rattus rattus","mus picteti"
"33","rattus rattus","mus rufescens"
"34","rattus rattus","mus samharensis"
"35","rattus rattus","myoxus siculae"
"36","rattus rattus","mus subcaeruleus"
"37","rattus rattus","mus sylvestris"
"38","rattus rattus","mus tectorum"
"39","rattus rattus","mus tetragonurus"
"40","rattus rattus","mus tompsoni"
"41","rattus rattus","mus variabilis"
"42","rattus rattus","rattus domesticus albus"
"43","rattus rattus","rattus domesticus ater"
"44","rattus rattus","mus rattus ater"
"45","rattus rattus","mus rattus brookei"
"46","rattus rattus","rattus rattus chionogaster"
"47","rattus rattus","mus tectorum fuliginosus"
"48","rattus rattus","rattus domesticus fulvaster"
"49","rattus rattus","rattus domesticus fuscus"
"50","rattus rattus","rattus rattus girensis"
"51","rattus rattus","mus rattus intermedius"
"52","rattus rattus","mus rattus jurassicus"
"53","rattus rattus","rattus norvegicus longicaudus"
"54","rattus rattus","rattus rattus narbadae"
"55","rattus rattus","rattus rattus nericola"
"56","rattus rattus","rattus rattus ruthenus"
"57","rattus rattus","rattus rattus sueirensis"
"58","rattus rattus","rattus domesticus varius"
"59","rattus rattus","rattus rattus wroughtoni"
