"","Host","Synonym"
"1","rattus tanezumi","rattus tanezumi"
"2","rattus tanezumi","epimys benguetensis"
"3","rattus tanezumi","mus brunneus"
"4","rattus tanezumi","mus brunneusculus"
"5","rattus tanezumi","mus canna"
"6","rattus tanezumi","epimys coloratus"
"7","rattus tanezumi","rattus dammermani"
"8","rattus tanezumi","mus diardii"
"9","rattus tanezumi","mus flavipectus"
"10","rattus tanezumi","rattus germaini"
"11","rattus tanezumi","mus kelleri"
"12","rattus tanezumi","rattus lalolis"
"13","rattus tanezumi","rattus macmillani"
"14","rattus tanezumi","rattus masaretes"
"15","rattus tanezumi","mus mindanensis"
"16","rattus tanezumi","rattus molliculus"
"17","rattus tanezumi","mus neglectus"
"18","rattus tanezumi","mus nemoralis"
"19","rattus tanezumi","mus ouangthomae"
"20","rattus tanezumi","rattus palelae"
"21","rattus tanezumi","mus pannosus"
"22","rattus tanezumi","mus pulliventer"
"23","rattus tanezumi","epimys robiginosus"
"24","rattus tanezumi","mus robustulus"
"25","rattus tanezumi","rattus sapoensis"
"26","rattus tanezumi","mus sladeni"
"27","rattus tanezumi","rattus toxi"
"28","rattus tanezumi","mus yunnanensis"
"29","rattus tanezumi","mus zamboangae"
"30","rattus tanezumi","mus tanezumi"
"31","rattus tanezumi","rattus rattus alangensis"
"32","rattus tanezumi","rattus rattus amboinensis"
"33","rattus tanezumi","rattus rattus argyraceus"
"34","rattus tanezumi","rattus rattus auroreus"
"35","rattus tanezumi","rattus rattus barussanoides"
"36","rattus tanezumi","rattus rattus bhotia"
"37","rattus tanezumi","rattus rattus bullocki"
"38","rattus tanezumi","epimys rattus dentatus"
"39","rattus tanezumi","epimys rattus exsul"
"40","rattus tanezumi","epimys rattus fortunatus"
"41","rattus tanezumi","rattus rattus gangutrianus"
"42","rattus tanezumi","epimys rattus insulanus"
"43","rattus tanezumi","rattus rattus kadanus"
"44","rattus tanezumi","rattus rattus khyensis"
"45","rattus tanezumi","rattus rattus kramensis"
"46","rattus tanezumi","rattus rattus lanensis"
"47","rattus tanezumi","rattus rattus lontaris"
"48","rattus tanezumi","rattus rattus makassarius"
"49","rattus tanezumi","epimys rattus makensis"
"50","rattus tanezumi","rattus rattus mesanis"
"51","rattus tanezumi","rattus rattus moheius"
"52","rattus tanezumi","rattus rattus moluccarius"
"53","rattus tanezumi","rattus rattus obiensis"
"54","rattus tanezumi","rattus rattus palembang"
"55","rattus tanezumi","rattus rattus panjius"
"56","rattus tanezumi","rattus rattus pelengensis"
"57","rattus tanezumi","rattus rattus pipidonis"
"58","rattus tanezumi","epimys rattus poenitentiarii"
"59","rattus tanezumi","epimys rattus portus"
"60","rattus tanezumi","epimys rattus rangensis"
"61","rattus tanezumi","rattus rattus robinsoni"
"62","rattus tanezumi","rattus rattus samati"
"63","rattus tanezumi","rattus rattus santalum"
"64","rattus tanezumi","rattus rattus septicus"
"65","rattus tanezumi","rattus rattus sumbae"
"66","rattus tanezumi","rattus mindanensis tablasi"
"67","rattus tanezumi","rattus rattus talaudensis"
"68","rattus tanezumi","rattus rattus tatkonensis"
"69","rattus tanezumi","rattus rattus thai"
"70","rattus tanezumi","rattus rattus tikos"
"71","rattus tanezumi","rattus rattus tistae"
"72","rattus tanezumi","epimys rattus turbidus"
"73","rattus tanezumi","rattus rattus yeni"
