"","Host","Synonym"
"1","rattus tiomanicus","rattus tiomanicus"
"2","rattus tiomanicus","mus jalorensis"
"3","rattus tiomanicus","mus jarak"
"4","rattus tiomanicus","mus julianus"
"5","rattus tiomanicus","epimys maerens"
"6","rattus tiomanicus","epimys mara"
"7","rattus tiomanicus","epimys roa"
"8","rattus tiomanicus","mus siantanicus"
"9","rattus tiomanicus","mus tambelanicus"
"10","rattus tiomanicus","epimys tingius"
"11","rattus tiomanicus","epimys tua"
"12","rattus tiomanicus","rattus rattus ambersoni"
"13","rattus tiomanicus","rattus rattus banguei"
"14","rattus tiomanicus","rattus rattus batin"
"15","rattus tiomanicus","rattus rattus delirius"
"16","rattus tiomanicus","rattus rattus generatius"
"17","rattus tiomanicus","rattus rattus jemuris"
"18","rattus tiomanicus","rattus rattus kabanicus"
"19","rattus tiomanicus","epimys neglectus lamucotanus"
"20","rattus tiomanicus","rattus rattus lasurius"
"21","rattus tiomanicus","rattus rattus luxuriosus"
"22","rattus tiomanicus","rattus rattus mangalumis"
"23","rattus tiomanicus","epimys rattus pauper"
"24","rattus tiomanicus","rattus rattus payanus"
"25","rattus tiomanicus","rattus rattus pemanggis"
"26","rattus tiomanicus","rattus rattus perhentianus"
"27","rattus tiomanicus","rattus rattus pharus"
"28","rattus tiomanicus","rattus rattus piperis"
"29","rattus tiomanicus","mus rattus rhionis"
"30","rattus tiomanicus","rattus rattus roquei"
"31","rattus tiomanicus","mus rattus rumpia"
"32","rattus tiomanicus","rattus rattus sebasianus"
"33","rattus tiomanicus","rattus rattus sribuatensis"
"34","rattus tiomanicus","rattus rattus terutavensis"
"35","rattus tiomanicus","rattus rattus vernalus"
"36","rattus tiomanicus","epimys rattus viclana"
