"","Host","Synonym"
"1","reithrodontomys fulvescens","reithrodontomys fulvescens"
"2","reithrodontomys fulvescens","rhithrodontomys amoenus"
"3","reithrodontomys fulvescens","reithrodontomys chrysotis"
"4","reithrodontomys fulvescens","reithrodontomys difficilis"
"5","reithrodontomys fulvescens","reithrodontomys griseoflavus"
"6","reithrodontomys fulvescens","reithrodontomys inexspectatus"
"7","reithrodontomys fulvescens","reithrodontomys laceyi"
"8","reithrodontomys fulvescens","reithrodontomys tenuis"
"9","reithrodontomys fulvescens","reithrodontomys mexicanus aurantius"
"10","reithrodontomys fulvescens","reithrodontomys fulvescens canus"
"11","reithrodontomys fulvescens","reithrodontomys fulvescens chiapensis"
"12","reithrodontomys fulvescens","reithrodontomys griseoflavus helvolus"
"13","reithrodontomys fulvescens","reithrodontomys fulvescens infernatis"
"14","reithrodontomys fulvescens","reithrodontomys mexicanus intermedius"
"15","reithrodontomys fulvescens","reithrodontomys fulvescens meridionalis"
"16","reithrodontomys fulvescens","reithrodontomys fulvescens mustelinus"
"17","reithrodontomys fulvescens","reithrodontomys fulvescens nelsoni"
"18","reithrodontomys fulvescens","reithrodontomys levipes toltecus"
"19","reithrodontomys fulvescens","reithrodontomys fulvescens tropicalis"
