"","Host","Synonym"
"1","reithrodontomys megalotis","reithrodontomys megalotis"
"2","reithrodontomys megalotis","reithrodontomys amoles"
"3","reithrodontomys megalotis","reithrodontomys arizonensis"
"4","reithrodontomys megalotis","reithrodontomys aztecus"
"5","reithrodontomys megalotis","rhithrodontomys catalinae"
"6","reithrodontomys megalotis","reithrodontomys dychei"
"7","reithrodontomys megalotis","rhithrodontomys peninsulae"
"8","reithrodontomys megalotis","reithrodontomys saturatus alticolus"
"9","reithrodontomys megalotis","reithrodontomys megalotis distichlis"
"10","reithrodontomys megalotis","reithrodontomys megalotis limicola"
"11","reithrodontomys megalotis","reithrodontomys dychei nebrascensis"
"12","reithrodontomys megalotis","reithrodontomys megalotis ravus"
"13","reithrodontomys megalotis","reithrodontomys megalotis santacruzae"
"14","reithrodontomys megalotis","reithrodontomys megalotis arizonensis"
