"","Host","Synonym"
"1","reithrodontomys mexicanus","reithrodontomys mexicanus"
"2","reithrodontomys mexicanus","hesperomys cherrii"
"3","reithrodontomys mexicanus","reithrodontomys mexicanus garichensis"
"4","reithrodontomys mexicanus","reithrodontomys mexicanus howelli"
"5","reithrodontomys mexicanus","reithrodontomys costaricensis jalapae"
"6","reithrodontomys mexicanus","reithrodontomys mexicanus lucifrons"
"7","reithrodontomys mexicanus","reithrodontomys mexicanus minusculus"
"8","reithrodontomys mexicanus","reithrodontomys mexicanus ocotepequensis"
"9","reithrodontomys mexicanus","reithrodontomys mexicanus orinus"
"10","reithrodontomys mexicanus","reithrodontomys mexicanus potrerograndei"
"11","reithrodontomys mexicanus","reithrodontomys mexicanus riparius"
"12","reithrodontomys mexicanus","reithrodontomys mexicanus scansor"
