"","Host","Synonym"
"1","reithrodontomys sumichrasti","reithrodontomys sumichrasti"
"2","reithrodontomys sumichrasti","reithrodontomys alleni"
"3","reithrodontomys sumichrasti","reithrodontomys australis"
"4","reithrodontomys sumichrasti","reithrodontomys dorsalis"
"5","reithrodontomys sumichrasti","reithrodontomys modestus"
"6","reithrodontomys sumichrasti","reithrodontomys rufescens"
"7","reithrodontomys sumichrasti","reithrodontomys rufescens luteolus"
"8","reithrodontomys sumichrasti","reithrodontomys colimae nerterus"
"9","reithrodontomys sumichrasti","reithrodontomys levipes otus"
"10","reithrodontomys sumichrasti","reithrodontomys chrysopsis seclusus"
"11","reithrodontomys sumichrasti","reithrodontomys australis vulcanius"
