"","Host","Synonym"
"1","rhabdomys pumilio","rhabdomys pumilio"
"2","rhabdomys pumilio","mus donavani"
"3","rhabdomys pumilio","mus lineatus"
"4","rhabdomys pumilio","mus septemvittatus"
"5","rhabdomys pumilio","mus vittatus"
"6","rhabdomys pumilio","isomys pumilio bechuanae"
"7","rhabdomys pumilio","arvicanthis pumilio cinereus"
"8","rhabdomys pumilio","arvicanthis pumilio deserti"
"9","rhabdomys pumilio","rhabdomys pumilio fouriei"
"10","rhabdomys pumilio","arvicanthis pumilio griquae"
"11","rhabdomys pumilio","arvicanthis pumilio intermedius"
"12","rhabdomys pumilio","mus pumilio major"
"13","rhabdomys pumilio","arvicanthis pumilio meridionalis"
"14","rhabdomys pumilio","rhabdomys pumilio namaquensis"
"15","rhabdomys pumilio","rhabdomys pumilio namibensis"
"16","rhabdomys pumilio","rhabdomys pumilio orangiae"
"17","rhabdomys pumilio","rhabdomys pumilio prieskae"
