"","Host","Synonym"
"1","rhombomys opimus","rhombomys opimus"
"2","rhombomys opimus","gerbillus giganteus"
"3","rhombomys opimus","rhombomys pallidus"
"4","rhombomys opimus","rhombomys opimus alaschanicus"
"5","rhombomys opimus","gerbillus opimus dalversinicus"
"6","rhombomys opimus","rhombomys opimus fumicolor"
"7","rhombomys opimus","gerbillus opimus nigrescens"
"8","rhombomys opimus","rhombomys opimus pevzovi"
"9","rhombomys opimus","rhombomys opimus sargadensis"
"10","rhombomys opimus","rhombomys opimus sodalis"
