"","Host","Synonym"
"1","sapajus apella","sapajus apella"
"2","sapajus apella","cebus apella"
"3","sapajus apella","sapajus macrocephalus"
"4","sapajus apella","cebus capillatus"
"5","sapajus apella","cebus cirrifer"
"6","sapajus apella","cebus crassiceps"
"7","sapajus apella","cebus cristatus"
"8","sapajus apella","cebus frontatus"
"9","sapajus apella","cebus leucogenys"
"10","sapajus apella","cebus lunatus"
"11","sapajus apella","cebus monachus"
"12","sapajus apella","cebus niger"
"13","sapajus apella","cebus subcristatus"
"14","sapajus apella","simia variegata"
"15","sapajus apella","cebus azarae"
"16","sapajus apella","cebus versuta"
"17","sapajus apella","cebus apella macrocephalus"
"18","sapajus apella","cebus apella magnus"
"19","sapajus apella","cebus apella maranonis"
"20","sapajus apella","cebus apella peruanus"
"21","sapajus apella","cebus apella tocantinus"
"22","sapajus apella","cebus apella chacoensis"
"23","sapajus apella","cebus libidinosus juruanus"
"24","sapajus apella","cebus apella morrulus"
"25","sapajus apella","cebus libidinosus pallidus"
"26","sapajus apella","cebus libidinosus paraguayanus"
"27","sapajus apella","cebus libidinosus sagitta"
