"","Host","Synonym"
"1","scotophilus kuhlii","scotophilus kuhlii"
"2","scotophilus kuhlii","scotophilus castaneus"
"3","scotophilus kuhlii","scotophilus gairdneri"
"4","scotophilus kuhlii","vespertilio temminckii"
"5","scotophilus kuhlii","scotophilus kuhlii kuhlii"
"6","scotophilus kuhlii","scotophilus kuhlii castaneus"
"7","scotophilus kuhlii","scotophilus kuhlii consobrinus"
"8","scotophilus kuhlii","scotophilus kuhlii gairdneri"
"9","scotophilus kuhlii","scotophilus kuhlii panayensis"
"10","scotophilus kuhlii","scotophilus kuhlii solutatus"
"11","scotophilus kuhlii","scotophilus kuhlii temminckii"
"12","scotophilus kuhlii","pachyotis temmincki panayensis"
"13","scotophilus kuhlii","scotophilus castaneus solutatus"
"14","scotophilus kuhlii","scotophilus castaneus consobrinus"
