"","Host","Synonym"
"1","sigmodon hispidus","sigmodon hispidus"
"2","sigmodon hispidus","sigmodon berlandieri"
"3","sigmodon hispidus","arvicola texiana"
"4","sigmodon hispidus","sigmodon hispidus alfredi"
"5","sigmodon hispidus","sigmodon hispidus confinis"
"6","sigmodon hispidus","sigmodon hispidus eremicus"
"7","sigmodon hispidus","sigmodon hispidus exsputus"
"8","sigmodon hispidus","sigmodon hispidus floridanus"
"9","sigmodon hispidus","sigmodon hispidus insulicola"
"10","sigmodon hispidus","sigmodon hispidus komareki"
"11","sigmodon hispidus","sigmodon hispidus littoralis"
"12","sigmodon hispidus","sigmodon hispidus pallidus"
"13","sigmodon hispidus","sigmodon hispidus solus"
"14","sigmodon hispidus","sigmodon hispidus spadicipygus"
"15","sigmodon hispidus","sigmodon hispidus virginianus"
