"","Host","Synonym"
"1","stenella coeruleoalba","stenella coeruleoalba"
"2","stenella coeruleoalba","stenella asthenops"
"3","stenella coeruleoalba","stenella crotaphiscus"
"4","stenella coeruleoalba","stenella euphrosyne"
"5","stenella coeruleoalba","stenella styx"
"6","stenella coeruleoalba","delphinus tethyos"
"7","stenella coeruleoalba","delphinus coeruleoalbus"
"8","stenella coeruleoalba","delphinus styx"
"9","stenella coeruleoalba","delphinus euphrosyne"
"10","stenella coeruleoalba","delphinus asthenops"
"11","stenella coeruleoalba","delphinus crotaphiscus"
