"","Host","Synonym"
"1","stenella frontalis","stenella frontalis"
"2","stenella frontalis","stenella plagiodon"
"3","stenella frontalis","stenella fontalis"
"4","stenella frontalis","delphinus doris"
"5","stenella frontalis","delphinus froenatus"
"6","stenella frontalis","delphinus pernettensis"
"7","stenella frontalis","stenella pernettyi"
"8","stenella frontalis","clymenia frontalis"
"9","stenella frontalis","delphinus frontalis"
"10","stenella frontalis","prodelphinus frontalis"
"11","stenella frontalis","stenella fontolis"
"12","stenella frontalis","delphinus fraenatus"
"13","stenella frontalis","prodelphinus froenatus"
"14","stenella frontalis","delphinus plagiodon"
