"","Host","Synonym"
"1","sundamys muelleri","sundamys muelleri"
"2","sundamys muelleri","rattus balmasus"
"3","sundamys muelleri","epimys borneanus"
"4","sundamys muelleri","mus chombolis"
"5","sundamys muelleri","epimys crassus"
"6","sundamys muelleri","rattus culionensis"
"7","sundamys muelleri","mus domitor"
"8","sundamys muelleri","mus firmus"
"9","sundamys muelleri","mus integer"
"10","sundamys muelleri","rattus pinatus"
"11","sundamys muelleri","epimys pollens"
"12","sundamys muelleri","epimys potens"
"13","sundamys muelleri","epimys sebucus"
"14","sundamys muelleri","epimys valens"
"15","sundamys muelleri","mus validus"
"16","sundamys muelleri","rattus victor"
"17","sundamys muelleri","rattus virtus"
"18","sundamys muelleri","rattus muelleri balabagensis"
"19","sundamys muelleri","epimys muelleri campus"
"20","sundamys muelleri","rattus muelleri credulus"
"21","sundamys muelleri","mus muelleri foederis"
"22","sundamys muelleri","rattus muelleri otiosus"
"23","sundamys muelleri","rattus validus terempa"
"24","sundamys muelleri","rattus muelleri waringensis"
