"","Host","Synonym"
"1","sylvilagus brasiliensis","sylvilagus brasiliensis"
"2","sylvilagus brasiliensis","sylvilagus brasiliensis brasiliensis"
"3","sylvilagus brasiliensis","sylvilagus brasiliensis caracasensis"
"4","sylvilagus brasiliensis","sylvilagus brasiliensis defilippi"
"5","sylvilagus brasiliensis","sylvilagus brasiliensis gibsoni"
"6","sylvilagus brasiliensis","sylvilagus brasiliensis inca"
"7","sylvilagus brasiliensis","sylvilagus brasiliensis minensis"
"8","sylvilagus brasiliensis","sylvilagus brasiliensis paraguensis"
"9","sylvilagus brasiliensis","sylvilagus brasiliensis peruanus"
"10","sylvilagus brasiliensis","lepus brasiliensis"
"11","sylvilagus brasiliensis","lepus defilippi"
