"","Host","Synonym"
"1","sylvilagus floridanus","sylvilagus floridanus"
"2","sylvilagus floridanus","sylvilagus floridanus floridanus"
"3","sylvilagus floridanus","sylvilagus floridanus alacer"
"4","sylvilagus floridanus","sylvilagus floridanus chapmani"
"5","sylvilagus floridanus","sylvilagus floridanus holzneri"
"6","sylvilagus floridanus","sylvilagus floridanus mallurus"
"7","sylvilagus floridanus","sylvilagus floridanus aztecus"
"8","sylvilagus floridanus","sylvilagus floridanus connectens"
"9","sylvilagus floridanus","sylvilagus floridanus hondurensis"
"10","sylvilagus floridanus","sylvilagus floridanus macrocorpus"
"11","sylvilagus floridanus","sylvilagus floridanus orizabae"
"12","sylvilagus floridanus","sylvilagus floridanus yucatanicus"
"13","sylvilagus floridanus","sylvilagus floridanus avius"
"14","sylvilagus floridanus","sylvilagus floridanus cumanicus"
"15","sylvilagus floridanus","sylvilagus floridanus margaritae"
"16","sylvilagus floridanus","sylvilagus floridanus nigronuchalis"
"17","sylvilagus floridanus","sylvilagus floridanus orinoci"
"18","sylvilagus floridanus","sylvilagus floridanus purgatus"
"19","sylvilagus floridanus","sylvilagus floridanus superciliaris"
"20","sylvilagus floridanus","lepus orizabae"
"21","sylvilagus floridanus","lepus russatus"
"22","sylvilagus floridanus","lepus sylvaticus alacer"
"23","sylvilagus floridanus","lepus sylvaticus aztecus"
"24","sylvilagus floridanus","lepus floridanus chapmani"
"25","sylvilagus floridanus","lepus floridanus connectens"
"26","sylvilagus floridanus","lepus sylvaticus floridanus"
"27","sylvilagus floridanus","lepus sylvaticus holzneri"
"28","sylvilagus floridanus","lepus nuttalli mallurus"
"29","sylvilagus floridanus","sylvilagus floridanus russatus"
"30","sylvilagus floridanus","sylvilagus floridanus subcinctus"
"31","sylvilagus floridanus","lepus floridanus subcinctus"
"32","sylvilagus floridanus","lepus floridanus yucatanicus"
