"","Host","Synonym"
"1","tatera indica","tatera indica"
"2","tatera indica","tatera bailwardi"
"3","tatera indica","tatera ceylonica"
"4","tatera indica","gerbillus cuvieri"
"5","tatera indica","tatera dunni"
"6","tatera indica","gerbillus hardwickei"
"7","tatera indica","gerbillus otarius"
"8","tatera indica","tatera persica"
"9","tatera indica","tatera pitmani"
"10","tatera indica","tatera sherrini"
"11","tatera indica","meriones taeniurus"
"12","tatera indica","tatera bailwardi monticola"
"13","tatera indica","tatera persica scansa"
