"","Host","Synonym"
"1","tscherskia triton","tscherskia triton"
"2","tscherskia triton","tscherskia albipes"
"3","tscherskia triton","cricetulus arenosus"
"4","tscherskia triton","asiocricetus bampensis"
"5","tscherskia triton","cricetulus nestor"
"6","tscherskia triton","asiocricetus yamashinai"
"7","tscherskia triton","cricetulus triton collinus"
"8","tscherskia triton","cricetulus triton fuscipes"
"9","tscherskia triton","cricetulus triton incanus"
"10","tscherskia triton","cricetulus triton meihsienensis"
"11","tscherskia triton","cricetulus triton ningshaanensis"
