"","Host","Synonym"
"1","vandeleuria oleracea","vandeleuria oleracea"
"2","vandeleuria oleracea","mus badius"
"3","vandeleuria oleracea","vandeleuria dumecolus"
"4","vandeleuria oleracea","mus dumeticola"
"5","vandeleuria oleracea","mus povensis"
"6","vandeleuria oleracea","vandeleuria rubida"
"7","vandeleuria oleracea","vandeleuria sibylla"
"8","vandeleuria oleracea","vandeleuria wroughtoni"
"9","vandeleuria oleracea","vandeleuria oleracea marica"
"10","vandeleuria oleracea","vandeleuria oleracea modesta"
"11","vandeleuria oleracea","vandeleuria dumeticola scandens"
"12","vandeleuria oleracea","vandeleuria oleracea spadicea"
