"","Host","Synonym"
"1","vespertilio sinensis","vespertilio sinensis"
"2","vespertilio sinensis","vespertilio superans"
"3","vespertilio sinensis","vesperus sinensis"
"4","vespertilio sinensis","vespertilio orientalis"
"5","vespertilio sinensis","vesperugo noctula"
"6","vespertilio sinensis","vespertilio sinensis sinensis"
"7","vespertilio sinensis","vespertilio sinensis andersoni"
"8","vespertilio sinensis","vespertilio sinensis namiyei"
"9","vespertilio sinensis","vespertilio sinensis noctula"
"10","vespertilio sinensis","vespertilio sinensis orientalis"
"11","vespertilio sinensis","vespertilio namiyei anderssoni"
"12","vespertilio sinensis","nyctalus noctula namiyei"
"13","vespertilio sinensis","vespertilio sinensis anderssoni"
