"","Host","Synonym"
"1","zapus hudsonius","zapus hudsonius"
"2","zapus hudsonius","zapus hudsonius campestris"
"3","zapus hudsonius","zapus hudsonius preblei"
"4","zapus hudsonius","zapus hudsonius luteus"
"5","zapus hudsonius","meriones acadicus"
"6","zapus hudsonius","dipus americanus"
"7","zapus hudsonius","dipus canadensis"
"8","zapus hudsonius","dipus labradorius"
"9","zapus hudsonius","zapus luteus"
"10","zapus hudsonius","meriones microcephalus"
"11","zapus hudsonius","zapus tenellus"
"12","zapus hudsonius","zapus hudsonius alascensis"
"13","zapus hudsonius","zapus hudsonius brevipes"
"14","zapus hudsonius","zapus hudsonius rafinesquei"
"15","zapus hudsonius","zapus hudsonius intermedius"
"16","zapus hudsonius","zapus hudsonius ladas"
"17","zapus hudsonius","zapus hudsonius pallidus"
"18","zapus hudsonius","zapus hudsonius hardyi"
"19","zapus hudsonius","zapus hudsonius ontarioensis"
"20","zapus hudsonius","zapus luteus australis"
