"","Host","Synonym"
"1","zygodontomys brevicauda","zygodontomys brevicauda"
"2","zygodontomys brevicauda","oryzomys cherriei"
"3","zygodontomys brevicauda","zygodontomys fraterculus"
"4","zygodontomys brevicauda","zygodontomys griseus"
"5","zygodontomys brevicauda","oryzomys microtinus"
"6","zygodontomys brevicauda","oryzomys sanctaemartae"
"7","zygodontomys brevicauda","zygodontomys seorsus"
"8","zygodontomys brevicauda","zygodontomys stellae"
"9","zygodontomys brevicauda","zygodontomys thomasi"
"10","zygodontomys brevicauda","zygodontomys cherriei ventriosus"
