"HostOrder","Year","Discovered","Virus","VRichness","VirusCumulative","yearx","mean","sd","q0.025","median","q0.975","smin","smax","cv","var","model"
"Cetartiodactyla",1930,0,"NA",282,0,1,0.878248450335225,0.153490982091977,0.619206182672083,0.863440239083545,1.20555536698778,0.396600124722403,1.53976383895285,0.174769431171088,0.0235594815835596,"1930"
"Cetartiodactyla",1931,1,"rift valley",282,1,2,0.901067801744721,0.154915697424467,0.638179424078261,0.886604085792581,1.23197479633349,0.411966908490324,1.56707659888337,0.171924573405582,0.0239988733085089,"1930"
"Cetartiodactyla",1932,0,"NA",282,1,3,0.924488335162033,0.156321320321538,0.65814914322546,0.909668940299287,1.25770834358598,0.427929098130937,1.59487384015845,0.169089554054935,0.0244363551870688,"1930"
"Cetartiodactyla",1933,0,"NA",282,1,4,0.948526099962085,0.157706394099538,0.679463815124762,0.933639594955279,1.28427281862603,0.444509763413335,1.62316415664318,0.166264685922551,0.0248713067398789,"1930"
"Cetartiodactyla",1934,1,"foot-and-mouth disease",282,2,5,0.973197579455806,0.159069441290186,0.700978801917369,0.958220884291359,1.30947545391848,0.461732867974595,1.65195629464296,0.163450305105706,0.025303087152372,"1930"
"Cetartiodactyla",1935,0,"NA",282,2,6,0.998519702767139,0.160408967843544,0.723013743875235,0.98327994650358,1.33421376095673,0.479623303953842,1.68125915560765,0.160646772816813,0.0257310369646312,"1930"
"Cetartiodactyla",1936,1,"western equine encephalitis",282,3,7,1.024509857039,0.161723468040679,0.745638859036715,1.00892351632952,1.3600370830198,0.498206927968266,1.71108179888346,0.157854477367437,0.0261544801151045,"1930"
"Cetartiodactyla",1937,0,"NA",282,3,8,1.05118589997739,0.163011430206267,0.768891399902128,1.03498335296929,1.39000659023644,0.517510598483063,1.74143344451385,0.155073836330733,0.0265727263778928,"1930"
"Cetartiodactyla",1938,0,"NA",282,3,9,1.0785661727432,0.164271343322507,0.793044262344807,1.06281406422276,1.41833911757244,0.537562214629333,1.77232347608994,0.152305298899467,0.0269850742369808,"1930"
"Cetartiodactyla",1939,1,"eastern equine encephalitis",282,4,10,1.10666951320134,0.165501704658055,0.819564628881991,1.09122578509591,1.44851184186672,0.558390756526025,1.80376144365163,0.149549348458418,0.027390814244722,"1930"
"Cetartiodactyla",1940,0,"NA",282,4,11,1.13551526953735,0.166701028539629,0.847142768274734,1.11990330883019,1.47950762841566,0.580026327164202,1.83575706664007,0.146806505391644,0.0277892329161702,"1930"
"Cetartiodactyla",1941,1,"rabies",282,5,12,1.16512331425167,0.167867856409362,0.873121144759479,1.15032789150443,1.51261122122963,0.602500195914174,1.86832023690259,0.144077330146964,0.0281796172154741,"1930"
"Cetartiodactyla",1942,0,"NA",282,5,13,1.19551405854227,0.169000768328307,0.901279682620737,1.18157999189771,1.5470511905609,0.625844843718366,1.90146102175083,0.141362426581897,0.0285612596955582,"1930"
"Cetartiodactyla",1943,0,"NA",282,5,14,1.22670846708652,0.170098396105684,0.930645101316231,1.21344975077024,1.57747359149649,0.650094010035245,1.93518966707324,0.138662445617314,0.0289334643577262,"1930"
"Cetartiodactyla",1944,1,"west nile",282,6,15,1.25872807323342,0.171159438254746,0.961064864714512,1.24606067588423,1.61069696634667,0.675282741602147,1.96951660050268,0.135978089227065,0.02929555330368,"1930"
"Cetartiodactyla",1945,0,"NA",282,6,16,1.29159499461783,0.172182676999665,0.99242818284812,1.27894802515959,1.64567748567869,0.701447443087484,2.00445243464025,0.13331011479385,0.0296468742587711,"1930"
"Cetartiodactyla",1946,1,"venezuelan equine encephalitis",282,7,17,1.32533194920855,0.173166997583668,1.02480856398217,1.31238756426751,1.67965258377054,0.728625929705538,2.04000797033636,0.130659339863554,0.0299868090521419,"1930"
"Cetartiodactyla",1947,0,"NA",282,7,18,1.35996227180234,0.174111410156837,1.05721042412106,1.34751224366884,1.71660429071128,0.756857481869881,2.07619420002989,0.12802664733198,0.0303147831468022,"1930"
"Cetartiodactyla",1948,0,"NA",282,7,19,1.39550993097648,0.175015074552625,1.08965706483858,1.38355789704765,1.75546458208236,0.786182901964412,2.11302231114666,0.125412991099362,0.0306302763206607,"1930"
"Cetartiodactyla",1949,0,"NA",282,7,20,1.43199954651286,0.175877328294903,1.12473574743444,1.4189034572533,1.79367779803138,0.816644573314061,2.15050368955818,0.122819402228996,0.030932834608153,"1930"
"Cetartiodactyla",1950,0,"NA",282,7,21,1.46945640730666,0.176697718212208,1.15962356236045,1.45679208361027,1.83273999179511,0.848286521440394,2.18864992310172,0.120246995646556,0.0312220836214009,"1930"
"Cetartiodactyla",1951,0,"NA",282,7,22,1.50790648977344,0.177476036072147,1.19643154311506,1.49537911951931,1.87256445616912,0.881154477690636,2.22747280516282,0.117696977415896,0.0314977433798821,"1930"
"Cetartiodactyla",1952,2,"california encephalitis, vaccinia",282,9,23,1.54737647676853,0.178212358685966,1.23276362563447,1.53469713119302,1.91247154522447,0.915295945332092,2.2669843383214,0.115170652624975,0.0317596447884155,"1930"
"Cetartiodactyla",1953,0,"NA",282,9,24,1.58789377703333,0.178907092969939,1.27078452840892,1.57606421260806,1.95242197051509,0.950760268207477,2.30719673806246,0.1126694339115,0.0320077479149545,"1930"
"Cetartiodactyla",1954,1,"rinderpest",282,10,25,1.62948654518311,0.179561026484815,1.3089865367755,1.61895530012946,1.99731245378386,0.987598702050385,2.34812243655271,0.110194850651337,0.0322421622322805,"1930"
"Cetartiodactyla",1955,1,"suid herpesvirus 2",282,11,26,1.67218370225175,0.180175384004814,1.34800109018762,1.66183058258621,2.04367197430923,1.02586448856397,2.38977408648406,0.107748558822928,0.0324631690012821,"1930"
"Cetartiodactyla",1956,0,"NA",282,11,27,1.71601495680911,0.180751890690391,1.38872277341097,1.70653014950688,2.09104465297958,1.06561293236989,2.43216456498542,0.10533235154692,0.0326712459881511,"1930"
"Cetartiodactyla",1957,1,"japanese encephalitis",282,12,28,1.76101082666708,0.181292842450064,1.43366201780392,1.75256451033414,2.13704226235185,1.10690148093878,2.4753069776038,0.102948170280805,0.0328670947236236,"1930"
"Cetartiodactyla",1958,1,"tick-borne encephalitis",282,13,29,1.80720266119092,0.181801184070435,1.4778454932851,1.79935327813028,2.17871535953289,1.14978980761766,2.51921466235602,0.1005981166222,0.033051670529412,"1930"
"Cetartiodactyla",1959,2,"encephalomyocarditis, mumps",282,15,30,1.85462266423311,0.182280595663148,1.52337884538152,1.84651341434134,2.22572296460618,1.19433989787441,2.56390119385241,0.0982844646398843,0.0332262155553119,"1930"
