"HostOrder","Year","Discovered","VirusFamily","VRichness","VirusCumulative","yearx","mean","sd","q0.025","median","q0.975","smin","smax","cv","var","model"
"Cetartiodactyla",1930,0,"NA",33,0,1,0.26943788737506,0.115798737158086,0.113786667130826,0.247834352207728,0.56325878418868,0.060549884283653,0.934429433457204,0.429778967932945,0.0134093475274075,"1930"
"Cetartiodactyla",1931,1,"Phenuiviridae",33,1,2,0.271816643660726,0.114566089092019,0.116823637628142,0.250926866260254,0.559451488313312,0.0627429756607408,0.919961036176887,0.421482980398424,0.0131253887698405,"1930"
"Cetartiodactyla",1932,0,"NA",33,1,3,0.274234028564492,0.113330193929884,0.12005248178331,0.253637973457686,0.555654099254977,0.0650154998863824,0.905716662790045,0.413260872558827,0.0128437328561852,"1930"
"Cetartiodactyla",1933,0,"NA",33,1,4,0.276690687395162,0.11209107932081,0.123135915764218,0.256598670489905,0.553018392663223,0.0673703339849898,0.89169284458457,0.405113306761655,0.012564410063304,"1930"
"Cetartiodactyla",1934,1,"Picornaviridae",33,2,5,0.279187278532926,0.110848817607133,0.126413720898843,0.259428566128443,0.553136654530623,0.0698104591855907,0.877886166556746,0.397041076476055,0.0122874603648994,"1930"
"Cetartiodactyla",1935,0,"NA",33,2,6,0.281724473706038,0.109603530530715,0.129787616562929,0.261840370976707,0.553373149775405,0.0720732946756646,0.86429326657965,0.389045115920881,0.0120129339047973,"1930"
"Cetartiodactyla",1936,0,"NA",33,2,7,0.284302958273956,0.108355394425763,0.133142919497033,0.264966028989023,0.553325535205568,0.074409066719571,0.850910834584426,0.381126510549182,0.0117408915011626,"1930"
"Cetartiodactyla",1937,0,"NA",33,2,8,0.286923431517081,0.107104645946417,0.136804302391481,0.267886033690528,0.553902363539921,0.0768205371350539,0.837735611754228,0.373286508460153,0.0114714051833073,"1930"
"Cetartiodactyla",1938,0,"NA",33,2,9,0.289586606933264,0.105851588381328,0.140385346867108,0.271137220107724,0.554256945907537,0.0793101591766909,0.824764389730661,0.365526532812762,0.0112045587628501,"1930"
"Cetartiodactyla",1939,0,"NA",33,2,10,0.292293212541259,0.104596598611473,0.143621003656263,0.274739837910009,0.552282355696917,0.0818804656048391,0.81199400983249,0.3578481953176,0.0109404484410897,"1930"
"Cetartiodactyla",1940,0,"NA",33,2,11,0.295043991191266,0.103340134771349,0.147188263020265,0.278451668412822,0.54928421515536,0.0845340712622811,0.799421362286459,0.350253310884604,0.0106791834545605,"1930"
"Cetartiodactyla",1941,0,"NA",33,2,12,0.297839700882757,0.102082744677336,0.151183906037022,0.281378834272309,0.546277346624521,0.0872736757343755,0.787043385470019,0.342743913503727,0.0104208867608581,"1930"
"Cetartiodactyla",1942,0,"NA",33,2,13,0.300681115089761,0.10082507509017,0.154863770641565,0.284370005193089,0.544953459748008,0.0901020660954193,0.774857065165771,0.335322273432674,0.0101656957669384,"1930"
"Cetartiodactyla",1943,0,"NA",33,2,14,0.303569023093782,0.0995678818807946,0.159113566472383,0.287407863999284,0.544002523387543,0.0930221197440136,0.762859433827468,0.327990915759659,0.00991376310222787,"1930"
"Cetartiodactyla",1944,0,"NA",33,2,15,0.306504230324548,0.0983120411700085,0.163515906496642,0.290820842864886,0.54464244885602,0.0960368073303208,0.751047569857369,0.320752640398825,0.00966525743901345,"1930"
"Cetartiodactyla",1945,0,"NA",33,2,16,0.309487558708777,0.097058561511737,0.16745317392684,0.294017329386804,0.54258097414694,0.0991491957781869,0.73943836004618,0.313610543560065,0.00942036436272763,"1930"
"Cetartiodactyla",1946,0,"NA",33,2,17,0.312519847027157,0.0958085971867555,0.170680430995581,0.297769821846368,0.541912273849774,0.102362451405208,0.733426973104818,0.306568040712083,0.00917928729489397,"1930"
