"HostOrder","Domestic","Year","Discovered","Virus","VRichness","VirusCumulative","yearx","mean","sd","q0.025","median","q0.975","smin","smax","cv","var","model"
"Cetartiodactyla","Wild",1930,0,"NA",272,0,1,0.194755385051926,0.062911160146438,0.100405299064881,0.185903138541966,0.33454746918418,0.0678719352910208,0.652290743521051,0.323026550098549,0.00395781407097077,"1930"
"Cetartiodactyla","Wild",1931,0,"NA",272,0,2,0.201199191108317,0.0639945604643027,0.104904461607063,0.192302794182646,0.342919837779432,0.0713015625480186,0.662777156216527,0.318065694557643,0.0040953037690193,"1930"
"Cetartiodactyla","Wild",1932,0,"NA",272,0,3,0.207861135323104,0.0650865572597308,0.109637972124983,0.198888281060171,0.351475937175846,0.0749044918196342,0.67343215148398,0.313125188884198,0.00423625993592422,"1930"
"Cetartiodactyla","Wild",1933,0,"NA",272,0,4,0.214748762208987,0.0661866863018341,0.11458506947301,0.205909100372289,0.361005228099404,0.0786894802056981,0.68425843950509,0.308205205101127,0.0043806774436174,"1930"
"Cetartiodactyla","Wild",1934,1,"foot-and-mouth disease",272,1,5,0.221869882534239,0.0672944535384157,0.119755391215909,0.21294846965647,0.370283392907647,0.0826657273098256,0.695258774031194,0.303305941165903,0.004528543477034,"1930"
"Cetartiodactyla","Wild",1935,0,"NA",272,1,6,0.229232582900176,0.0684093347573055,0.125159009790846,0.220153274120257,0.379880211553577,0.0868428975995143,0.706435953083723,0.298427622687023,0.00467983708193709,"1930"
"Cetartiodactyla","Wild",1936,0,"NA",272,1,7,0.236845235669412,0.069530775392206,0.130505169073446,0.227745050171941,0.389557366663482,0.0912311438961153,0.7177928196659,0.293570504788438,0.0048345287266414,"1930"
"Cetartiodactyla","Wild",1937,0,"NA",272,1,8,0.244716509257979,0.0706581904995491,0.136010028594474,0.235690195518577,0.39957385349079,0.0958411320517736,0.729332262485884,0.288734874135776,0.00499257988467057,"1930"
"Cetartiodactyla","Wild",1938,0,"NA",272,1,9,0.252855378804869,0.07179096493658,0.14181811894924,0.243898193238998,0.409794230820941,0.100684066873315,0.741057216691531,0.283921051139599,0.00515394264652526,"1930"
"Cetartiodactyla","Wild",1939,0,"NA",272,1,10,0.261271137233086,0.0729284537751009,0.147719022103769,0.252061757738358,0.420372520033152,0.105754027316285,0.752970664616976,0.279129392352435,0.00531855937002703,"1930"
"Cetartiodactyla","Wild",1940,0,"NA",272,1,11,0.269973406716808,0.0740699829900803,0.153942789395803,0.260865802028772,0.431185160600302,0.111047273114987,0.765075636541211,0.274360293077966,0.00548636238015079,"1930"
"Cetartiodactyla","Wild",1941,0,"NA",272,1,12,0.278972150569846,0.0752148504677481,0.16042878120193,0.27006808235467,0.442336037580793,0.116605458715951,0.777375211458858,0.26961419021257,0.00565727373088571,"1930"
"Cetartiodactyla","Wild",1942,0,"NA",272,1,13,0.288277685571119,0.0763623273839252,0.167393497018635,0.279741259626125,0.453797725550854,0.122441844999453,0.789872517863341,0.264891565341384,0.00583120504348977,"1930"
"Cetartiodactyla","Wild",1943,0,"NA",272,1,14,0.29790069474351,0.0775116600102799,0.174686849754174,0.2897466409065,0.46683438212972,0.128570356585025,0.802570734542637,0.260192948113185,0.00600805743754922,"1930"
"Cetartiodactyla","Wild",1944,0,"NA",272,1,15,0.307852240603048,0.0786620720140587,0.18253128160399,0.299971780533304,0.47904249480098,0.135005615053205,0.81547309138783,0.255518919920702,0.00618772157354495,"1930"
"Cetartiodactyla","Wild",1945,0,"NA",272,1,16,0.318143778896026,0.079812767325724,0.190161478767178,0.310371659902782,0.49156064245739,0.141762973830137,0.828582870214658,0.250870117915485,0.00637007782819016,"1930"
"Cetartiodactyla","Wild",1946,0,"NA",272,1,17,0.328787172842343,0.0809629336589735,0.197562909287478,0.321053993432364,0.50442483080585,0.148858554818213,0.841903405598267,0.246247239389099,0.00655499662666735,"1930"
"Cetartiodactyla","Wild",1947,0,"NA",272,1,18,0.339794707904027,0.0821117467789463,0.205813083063611,0.33230687529337,0.518173905166272,0.156309286860179,0.855438085721388,0.241651046555258,0.0067423389590898,"1930"
"Cetartiodactyla","Wild",1948,0,"NA",272,1,19,0.351179107098639,0.0832583756271986,0.215421046433436,0.343498331921419,0.532222560379508,0.164132946128457,0.869190353236147,0.237082371770519,0.0069319571120797,"1930"
"Cetartiodactyla","Wild",1949,0,"NA",272,1,20,0.362953546878016,0.0844019884264084,0.224305100615501,0.355524035919246,0.546376426225217,0.172348198536053,0.88316370613973,0.23254212323423,0.00712369565033158,"1930"
"Cetartiodactyla","Wild",1950,0,"NA",272,1,21,0.375131673593551,0.085541759903914,0.23456252502129,0.367488275891416,0.560172439023381,0.180974644270232,0.89736169866413,0.228031291211621,0.00731739268745886,"1930"
"Cetartiodactyla","Wild",1951,0,"NA",272,1,22,0.387727620570079,0.086676879791284,0.245087679596587,0.380319116259457,0.573895614276766,0.190032864555215,0.911787942180188,0.223550954827108,0.00751288149035269,"1930"
"Cetartiodactyla","Wild",1952,0,"NA",272,1,23,0.400756025811214,0.0878065627773158,0.256464484813836,0.39312397189705,0.588870411017694,0.199544470755458,0.926446106116178,0.219102289477936,0.00770999246676671,"1930"
"Cetartiodactyla","Wild",1953,0,"NA",272,1,24,0.414232050359903,0.0889300601143399,0.267566059466926,0.406328868069426,0.604287858904701,0.209532155936672,0.941339918891151,0.214686574921167,0.00790855559194011,"1930"
"Cetartiodactyla","Wild",1954,0,"NA",272,1,25,0.428171397338856,0.0900466731026011,0.280198359088971,0.419971995257237,0.620081683980806,0.220019749007598,0.956473168863293,0.210305204089422,0.00810840333684671,"1930"
"Cetartiodactyla","Wild",1955,0,"NA",272,1,26,0.442590331696441,0.0911557687049009,0.291597891416582,0.43405629579742,0.636761323975931,0.231032271571707,0.971849705293518,0.205959692692569,0.0083093741681814,"1930"
"Cetartiodactyla","Wild",1956,0,"NA",272,1,27,0.457505700684629,0.092256797573653,0.304661350187953,0.448549238654017,0.652952093219075,0.242595997624466,0.987473439324561,0.201651689663312,0.00851131669854599,"1930"
"Cetartiodactyla","Wild",1957,0,"NA",272,1,28,0.472934955096595,0.0933493148049795,0.318284979029296,0.464600065242149,0.670069489030067,0.2547385162386,1.00334834497581,0.197382988504018,0.00871409457455916,"1930"
"Cetartiodactyla","Wild",1958,0,"NA",272,1,29,0.488896171292609,0.0944330037692595,0.331979063427587,0.480368089818208,0.687586676156973,0.2674887973869,1.01947846015412,0.19315553958949,0.00891759220088498,"1930"
"Cetartiodactyla","Wild",1959,0,"NA",272,1,30,0.505408074043986,0.0955077034042593,0.346405333733977,0.497360949862804,0.705540969206945,0.280877261059622,1.03586788768089,0.18897146347517,0.00912172140955595,"1930"
"Cetartiodactyla","Wild",1960,3,"alcelaphine herpesvirus 1, bovine herpesvirus 3, epizootic hemorrhagic disease",272,4,31,0.522490060225983,0.0965734393949666,0.360775684768659,0.514539649552291,0.724108815982581,0.294935849841383,1.05252079633567,0.184833065251418,0.00932642919657329,"1930"
"Cetartiodactyla","Wild",1961,0,"NA",272,4,32,0.540162223391713,0.0976304597025223,0.377198334752904,0.532233061444532,0.743314130029073,0.309698105120707,1.06944142191648,0.180742849971059,0.00953170666172583,"1930"
"Cetartiodactyla","Wild",1962,0,"NA",272,4,33,0.558445379260399,0.0986792749416939,0.392298282942886,0.550688661206799,0.762266224132307,0.325199247114036,1.08663406831725,0.17670353915791,0.00973759930301842,"1930"
"Cetartiodactyla","Wild",1963,0,"NA",272,4,34,0.577361092154549,0.0997207041400736,0.408880411427148,0.569540543197193,0.781678797017531,0.341476258895151,1.10410310862254,0.172718088376797,0.00994421883419209,"1930"
"Cetartiodactyla","Wild",1964,1,"rinderpest",272,5,35,0.59693170242196,0.100755926439691,0.427253334543825,0.588659509149388,0.802707893487782,0.358567974630453,1.12185298621987,0.168789705808704,0.0101517567127205,"1930"
"Cetartiodactyla","Wild",1965,0,"NA",272,5,36,0.617180354879876,0.101786539319124,0.445977955076655,0.608906188617119,0.824566990741509,0.376155265574703,1.13988821592994,0.164921871725706,0.0103604995865637,"1930"
"Cetartiodactyla","Wild",1966,0,"NA",272,5,37,0.638131028320007,0.10281462391631,0.464461680651617,0.629956281513851,0.850041033868781,0.390621307135071,1.15821338515498,0.161118358696626,0.0105708468910522,"1930"
"Cetartiodactyla","Wild",1967,0,"NA",272,5,38,0.659808566114645,0.103842818012554,0.48273607188979,0.651646959385287,0.872709794395965,0.40564367842834,1.17683315504563,0.157383252272767,0.0107833308527884,"1930"
"Cetartiodactyla","Wild",1968,0,"NA",272,5,39,0.682238707965659,0.104874397188366,0.50193986162574,0.674005535647523,0.89715559354155,0.421243774579805,1.1957522616865,0.153720971800453,0.0109986391856232,"1930"
"Cetartiodactyla","Wild",1969,2,"everglades, vesicular stomatitis indiana",272,7,40,0.705448122839731,0.10591336457161,0.522930504290406,0.697246143799339,0.921830301015898,0.437443813520659,1.21497551730087,0.150136290880275,0.0112176407948788,"1930"
"Cetartiodactyla","Wild",1970,2,"new jersey vesiculovirus, ovine herpesvirus 2",272,9,41,0.729464443134922,0.106964549455944,0.545259024383834,0.720906513295903,0.947535021127811,0.454266867631168,1.23450781147469,0.146634356838911,0.011441414840313,"1930"
"Cetartiodactyla","Wild",1971,4,"bluetongue, bovine parainfluenza virus 3, bovine viral diarrhea virus 1, st. louis encephalitis",272,13,42,0.754316300125323,0.108033714858891,0.566075911141155,0.745527496658997,0.975849714225667,0.471736896600749,1.25435411240031,0.143220708396387,0.0116712835462121,"1930"
"Cetartiodactyla","Wild",1972,0,"NA",272,13,43,0.780033360732433,0.109127673798993,0.589948043347324,0.770671251887606,1.00544505252754,0.489878781551793,1.27451946814013,0.139901290499325,0.0119088491887794,"1930"
"Cetartiodactyla","Wild",1973,1,"alcelaphine herpesvirus 2",272,14,44,0.80664636567371,0.110254413685246,0.613503048018253,0.797126226222747,1.03423312945346,0.508718360475788,1.29500900791068,0.136682465051661,0.0121560357370773,"1930"
"Cetartiodactyla","Wild",1974,3,"bovine alphaherpesvirus 1, influenza a, ungulate bocaparvovirus 1",272,17,45,0.834187169040741,0.111423227715692,0.638416003449942,0.8241503864097,1.06403571456017,0.528282465032244,1.31582794338723,0.133571016015292,0.012415135674583,"1930"
"Cetartiodactyla","Wild",1975,4,"bovine ephemeral fever, california encephalitis, orf, venezuelan equine encephalitis",272,21,46,0.862688779361486,0.112644851566438,0.664052859617444,0.851820711734415,1.09508805313235,0.548598958762816,1.33698157002941,0.130574147086753,0.012688862584425,"1930"
"Cetartiodactyla","Wild",1976,0,"NA",272,21,47,0.892185402203149,0.113931602916307,0.691382412129819,0.880877266164637,1.12621233377003,0.569696776775048,1.35847526842821,0.127699469902742,0.0129804101430791,"1930"
"Cetartiodactyla","Wild",1977,0,"NA",272,21,48,0.922712484374439,0.115297520508005,0.718239639800543,0.911588707073858,1.16032265551998,0.591605966952259,1.38031450567454,0.124954980517221,0.0132935182352937,"1930"
"Cetartiodactyla","Wild",1978,2,"rotavirus a, vesicular exanthema of swine",272,23,49,0.954306759788246,0.116758498525397,0.745309989745511,0.943070914703401,1.19428236224173,0.614357732748273,1.40250483674979,0.122349021766654,0.0136325469779052,"1930"
"Cetartiodactyla","Wild",1979,1,"bovine herpesvirus 1",272,24,50,0.987006297048117,0.118332411125082,0.773681548995356,0.976221275298848,1.23173223321581,0.637984477627922,1.42505190593886,0.119890229149484,0.0140025595226755,"1930"
"Cetartiodactyla","Wild",1980,0,"NA",272,24,51,1.02085054882439,0.120039221086642,0.804701199160679,1.01053231959316,1.2718090775057,0.662519851216631,1.44796144826577,0.117587458051405,0.0144094145990877,"1930"
"Cetartiodactyla","Wild",1981,0,"NA",272,24,52,1.05588040308841,0.121901065860755,0.83656863837326,1.046846375422,1.31127259120825,0.687998797224806,1.49411499435718,0.115449690612876,0.0148598698579882,"1930"
"Cetartiodactyla","Wild",1982,4,"bovine herpesvirus 2, colorado tick fever, deer papillomavirus, lumpy skin disease",272,28,53,1.09213823627579,0.123942313948754,0.869672641267411,1.08466113909551,1.35390804534899,0.714457603215283,1.54669339310895,0.113485921316517,0.0153616971869715,"1930"
"Cetartiodactyla","Wild",1983,1,"bunyamwera",272,29,54,1.12966796845274,0.126189584710669,0.903875460473587,1.12067247254415,1.39475364552514,0.74193395228471,1.60112204302997,0.111705021506015,0.0159238112894511,"1930"
"Cetartiodactyla","Wild",1984,1,"human parainfluenza virus 3",272,30,55,1.16851512056189,0.128671725536471,0.935861332703904,1.15931134310353,1.437104562842,0.770466976732475,1.65746605506828,0.110115584533129,0.016556412952533,"1930"
"Cetartiodactyla","Wild",1985,3,"akabane, bovine respiratory syncytial, ovine respiratory syncytial",272,33,56,1.20872687382749,0.131419741954142,0.971470626268795,1.1999688547059,1.48469435266081,0.800097313793621,1.71579283144763,0.108725755006997,0.0172711485752932,"1930"
"Cetartiodactyla","Wild",1986,2,"cowpox, european elk papillomavirus",272,35,57,1.25035213140269,0.134466678735537,1.00495615489033,1.2414308856959,1.53465490721981,0.830867163515102,1.77617214629822,0.10754304756108,0.0180812876901662,"1930"
"Cetartiodactyla","Wild",1987,4,"crimean-congo hemorrhagic fever, indiana vesiculovirus, klamath, peste-des-petits-ruminants",272,39,58,1.29344158234474,0.137847453321785,1.04330365425935,1.28415763755772,1.58243765007446,0.862820348857839,1.83867622912488,0.106574162454168,0.0190019203873017,"1930"
"Cetartiodactyla","Wild",1988,5,"bovine alphaherpesvirus 2, caprine herpesvirus 1, cervid herpesvirus 1, cervid herpesvirus 2, equid herpesvirus 1",272,44,59,1.3380477680078,0.141598646697307,1.08030294721281,1.3286948365522,1.63149859627387,0.896002378110145,1.90337985121249,0.105824806918614,0.0200501767465089,"1930"
"Cetartiodactyla","Wild",1989,1,"main drain virus",272,45,60,1.38422515094573,0.145758260813959,1.12107663416032,1.37487642743182,1.68399826388713,0.930460509701436,1.9703604150721,0.10529953217103,0.0212454705955102,"1930"
"Cetartiodactyla","Wild",1990,1,"african swine fever",272,46,61,1.43203018642174,0.150365455303194,1.15899865057736,1.42331390463548,1.74029047222086,0.966243819508511,2.03969804703458,0.105001596145761,0.0226097701485367,"1930"
"Cetartiodactyla","Wild",1991,2,"cetacean morbillivirus, hippotragine herpesvirus 1",272,48,62,1.4815213966247,0.155460278971502,1.19728473331581,1.47207292398956,1.7973273887707,1.00340327075028,2.1114756931028,0.104932861128892,0.0241678983378972,"1930"
"Cetartiodactyla","Wild",1992,0,"NA",272,48,63,1.53275944769655,0.161083412973822,1.23809938680055,1.5215756717808,1.86341374019346,1.04199178657049,2.18577921817678,0.105093733537836,0.0259478659352948,"1930"
"Cetartiodactyla","Wild",1993,2,"rabies, visna/maedi",272,50,64,1.58580722967876,0.167275942298455,1.28295364280803,1.57457942312773,1.93416373907236,1.08206432541176,2.26269750877065,0.105483150264323,0.027981240871836,"1930"
"Cetartiodactyla","Wild",1994,1,"borna",272,51,65,1.64072993949039,0.174079170231812,1.32965803777321,1.62905879638163,1.99368724211344,1.12367795928841,2.34232257934426,0.106098612600366,0.0303035575085963,"1930"
"Cetartiodactyla","Wild",1995,2,"betacoronavirus 1, tick-borne encephalitis",272,53,66,1.69759516705437,0.181534487043796,1.37293344424842,1.68441634670525,2.06366884841961,1.16689195506938,2.4247496823766,0.106936265233831,0.032954769986254,"1930"
"Cetartiodactyla","Wild",1996,1,"deer adenovirus",272,54,67,1.75647298469361,0.189683299728638,1.4170420743758,1.74323830859336,2.14464897275138,1.21176785888719,2.51007742231276,0.107991014596632,0.0359797541959441,"1930"
"Cetartiodactyla","Wild",1997,2,"cardiovirus a, equid herpesvirus 9",272,56,68,1.8174360399228,0.198567024874994,1.45894905341752,1.80700323701705,2.22474426567033,1.25836958379299,2.59840787352073,0.109256678371707,0.0394288633677063,"1930"
"Cetartiodactyla","Wild",1998,1,"rift valley",272,57,69,1.88055965176712,0.208227142254831,1.50315837447241,1.87098395207259,2.31199556382739,1.30676350078267,2.68984670239916,0.110726156471115,0.0433585427716135,"1930"
"Cetartiodactyla","Wild",1999,2,"bovine adenovirus b, sindbis",272,59,70,1.94592191074399,0.218705303031688,1.54999844260037,1.93392383036434,2.4048589616231,1.35701853332358,2.7862288750971,0.112391613365446,0.0478320095741824,"1930"
"Cetartiodactyla","Wild",2000,1,"bovine immunodeficiency",272,60,71,2.01360378264934,0.230043483919206,1.60367466864535,1.99909761915539,2.50254258287832,1.40920625551659,2.90581912673412,0.114244662183011,0.0529200044936862,"1930"
"Cetartiodactyla","Wild",2001,2,"bovine papular stomatitis, ovine adenovirus a",272,62,72,2.08368921629556,0.242284177274697,1.65245796354377,2.06837726599925,2.59573099842137,1.46156189845899,3.03054241981452,0.116276542288507,0.0587016225576768,"1930"
"Cetartiodactyla","Wild",2002,1,"borna disease",272,63,73,2.15626525535389,0.25547060690034,1.7021827828302,2.13957788461988,2.69370255399054,1.49421838179686,3.16061907425651,0.118478283813191,0.0652652309900282,"1930"
"Cetartiodactyla","Wild",2003,2,"canine distemper, caprine herpesvirus 2",272,65,74,2.23142215446012,0.269646960022426,1.74869431933427,2.21316663319678,2.79552910876578,1.52760452694729,3.29627886652894,0.120840854557019,0.0727094830493357,"1930"
